state_name,state_abbrev,house_value_median,household_income_median,age_median,male_percent,female_percent,latino_percent,white_percent,black_percent,native_percent,asian_percent,pacific_percent
Alabama,AL,195100,62027,39.3,48.5,51.5,27.5,65.4,26.1,0.4,1.6,0.3
Arizona,AZ,358900,76872,38.8,49.9,50.1,6.4,63.2,4.6,4.1,3.3,0.2
Arkansas,AR,175300,58773,38.4,49.3,50.7,16.4,70.9,14.9,0.6,2.2,0.1
California,CA,695400,96334,37.6,50.0,50.0,7.2,44.0,5.5,1.1,6.7,1.2
Colorado,CO,502200,92470,37.5,50.6,49.4,5.7,73.5,4.0,1.0,5.5,0.4
Connecticut,CT,343200,93760,41.2,49.1,50.9,13.6,67.6,10.7,0.3,7.4,0.3
Florida,FL,325000,71711,42.6,49.1,50.9,17.8,59.9,15.3,0.3,10.8,0.1
Georgia,GA,272900,74664,37.4,48.8,51.2,33.7,52.5,31.3,0.4,3.7,0.6
Idaho,ID,376000,74636,37.1,50.3,49.7,1.4,83.3,0.7,1.1,2.1,0.1
Illinois,IL,250500,81702,38.9,49.4,50.6,15.5,63.3,13.8,0.5,2.4,0.4
Iowa,IA,195900,73147,38.6,50.1,49.9,5.4,85.6,3.9,0.3,1.6,0.2
Kansas,KS,203400,72639,37.2,50.2,49.8,7.6,77.9,5.4,0.7,2.1,0.2
Louisiana,LA,208700,60023,37.8,49.0,51.0,33.1,58.0,31.1,0.6,4.1,0.1
Maine,ME,266400,71773,44.8,49.2,50.8,2.5,91.3,1.7,0.5,0.9,0.1
Maryland,MD,397700,101652,39.3,48.7,51.3,32.4,49.6,29.6,0.4,8.8,0.7
Massachusetts,MA,525800,101341,40.0,48.9,51.1,10.1,70.7,7.0,0.2,7.2,0.4
Michigan,MI,217600,71149,40.1,49.6,50.4,15.4,74.8,13.4,0.5,1.1,0.3
Minnesota,MN,305500,87556,38.6,50.1,49.9,8.7,78.4,6.8,0.9,1.9,0.3
Mississippi,MS,161400,54915,38.4,48.5,51.5,38.4,56.3,37.0,0.4,1.2,0.0
Missouri,MO,215600,68920,38.9,49.3,50.7,12.9,78.3,11.1,0.3,1.4,0.2
Nebraska,NE,223800,74985,37.1,50.2,49.8,6.5,79.9,4.8,1.0,3.1,0.1
New Hampshire,NH,367200,95628,43.2,49.9,50.1,2.6,88.9,1.5,0.1,2.2,0.2
New Jersey,NJ,427600,101050,40.1,49.2,50.8,15.4,56.9,13.0,0.5,13.3,1.1
New Mexico,NM,232200,62125,39.2,49.7,50.3,3.4,53.6,2.1,9.5,15.4,0.1
New York,NY,403000,84578,39.6,48.8,51.2,17.7,57.1,14.7,0.5,11.5,0.6
North Carolina,NC,259400,69904,39.1,48.9,51.1,22.9,63.3,20.6,1.0,3.9,0.2
Ohio,OH,199200,69680,39.6,49.3,50.7,14.7,77.8,12.3,0.1,1.3,0.1
Oregon,OR,454200,80426,40.1,49.9,50.1,3.3,76.6,1.9,1.1,2.4,0.4
Pennsylvania,PA,240500,76081,40.9,49.3,50.7,13.0,75.8,10.7,0.2,3.1,0.3
South Carolina,SC,236700,66818,40.1,48.7,51.3,27.2,64.1,25.3,0.3,2.5,0.1
Tennessee,TN,256800,67097,38.9,49.1,50.9,17.6,73.5,15.9,0.2,2.5,0.1
Texas,TX,260400,76292,35.5,49.9,50.1,14.0,53.9,12.2,0.6,6.0,0.3
Vermont,VT,290500,78024,43.0,49.6,50.4,2.2,91.4,1.2,0.2,1.2,0.2
Virginia,VA,360700,90974,38.8,49.4,50.6,21.3,61.7,18.7,0.3,6.7,0.9
Washington,WA,519800,94952,38.2,50.4,49.6,6.0,67.8,4.0,1.2,2.7,0.9
Wisconsin,WI,247400,75670,40.1,50.1,49.9,7.6,81.3,6.1,0.7,1.2,0.1
